Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Hybrid Encoding-based Quantum Self Attention for Financial Time Series Analysis,L. S; S. Reddy; S. Y. C. Chen,"Wells Fargo, Bengaluru, India; Wells Fargo, Hyderabad, India; Wells Fargo, New York, NY, USA","2025 IEEE International Conference on Acoustics, Speech, and Signal Processing Workshops (ICASSPW)",27 May 2025,2025,,,1,5,"Self-attention mechanisms, central to Transformer architectures, have become foundational in the development of large language models (LLMs) and various advanced machine learning systems. These mechanisms are pivotal for effectively capturing complex data dependencies and relationships, which is crucial for tasks such as natural language understanding and generation. However, as dimensionality increases, self-attention mechanisms face significant challenges related to computational efficiency and scalability. This paper introduces an encoding-based quantum self-attention mechanism designed to address these issues by embedding classical data into quantum states. This approach facilitates more efficient computation and reduces model complexity. To further enhance performance for real-world applications, particularly in financial time series forecasting, we propose a hybrid model that integrates Long Short-Term Memory (LSTM) networks with quantum self-attention mechanism. Given the constraints of the Noisy Intermediate-Scale Quantum (NISQ) era, this hybrid approach represents a plausible solution, leveraging the strengths of both classical and quantum methods and focusing on achieving faster convergence. Experimental results demonstrate that our approach converges significantly quicker than traditional models, showcasing the advantages of integrating quantum techniques with classical machine learning for practical applications.",,979-8-3315-1931-5,10.1109/ICASSPW65056.2025.11011079,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011079,Self-Attention;Transformers;Quantum Self-Attention;LSTM;Quantum Neural Networks,Computational modeling;Time series analysis;Predictive models;Signal processing;Transformers;Computational efficiency;Forecasting;Speech processing;Long short term memory;Convergence,,,,39.0,IEEE,27 May 2025,,,IEEE,IEEE Conferences
Temporal Data Analytics Through Reinforced LLM Architectures for Time-Series Pattern Discovery,S. Korkanti,"Independent Researcher, Sydney, Australia",2025 International Conference on Computing Technologies & Data Communication (ICCTDC),22 Sep 2025,2025,,,1,6,"In these modern times, where much data are involved, temporal data analysis has become a significant medium toward meaningful pattern discovery for informed decision-making in many contemporary fields such as finance, healthcare, and environmental science. Traditional methods of time-series pattern discovery often cannot adequately provide insight into complex real-world datasets due to their high dimensionality and volume. This paper introduces an innovative paradigm that relies on the power of reinforcement-enhanced architectures of LLM to further enhance the improvement of temporal data analysis in timeseries pattern discovery. Our approach integrates the knowledge from state-of-the-art LLMs with reinforcement learning to improve the detection and explanation of complex temporal patterns. We have applied our proposed approach to several real datasets, including stock market indices from the S&P 500 and NOAA weather data. These results represent significant gains in the accuracy of pattern recognition and forecasting performance compared to traditional conventional methods of time-series analysis. Our further reinforced LLM architecture offers higher adaptability and scalability, making it suitable for diversified and large-scale temporal data sets. This advances not only the precision of time-series prediction but also provides deeper insights into the underlying temporal dynamics to drive more strategic and proactive decision-making processes. Our finding illustrates how reinforcement-aided LLM architectures may revolutionize temporal data analytics by opening ways to more robust and intelligent pattern-discovery systems in various real-world applications.",,979-8-3315-2798-3,10.1109/ICCTDC64446.2025.11158803,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11158803,Temporal Data Analytics;Reinforced LLM;Time-Series Patterns;Pattern Discovery;Real- World Datasets,Adaptation models;Data analysis;Accuracy;Decision making;Finance;Reinforcement learning;Transformers;Forecasting;Standards;National Oceanic and Atmospheric Administration,,,,33.0,IEEE,22 Sep 2025,,,IEEE,IEEE Conferences
Transformer-Based Models for Commodity Trading Price Forecasting,P. Kampotha; H. Wang; C. Li,"International Business School, Zhejiang University, China; International Business School, Zhejiang University, China; International Business School, Zhejiang University, China",2024 7th International Conference on Data Science and Information Technology (DSIT),18 Feb 2025,2024,,,1,5,"Transformer-based models have gained significant traction across various fields such as natural language processing (NLP), large language models (LLM), smart transportation, and finance due to their ability to capture long-term dependencies and sequence patterns. However, their application in forecasting stock or commodity trading returns remains underexplored. In this study, we aim to compare the performance of three transformer-based models—Informer, Autoformer, and Transformer with Positional Encoder unit —alongside an LSTM for forecasting commodity returns. Specifically, the two datasets used will consist of historical commodity prices, including six types of metals. These models, known for their capacity to handle long sequence data, have shown promise in financial forecasting, particularly. Still, their potential in commodity trading price forecasting has been less studied. By evaluating these models based on historical metal prices, this research seeks to determine the most accurate model for predicting commodity returns, providing valuable insights for the commodity trading and financial sectors.",,979-8-3503-8409-3,10.1109/DSIT61374.2024.10881129,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10881129,Transformer;Positional Embedding;Encoder;Autoformer;Informer;Time series;Commodity Trading,Accuracy;Large language models;Metals;Predictive models;Transformers;Natural language processing;Data models;Smart transportation;Forecasting;Long short term memory,,1.0,,21.0,IEEE,18 Feb 2025,,,IEEE,IEEE Conferences
Applying Large Language Models to Issue Classification,G. Aracena; K. Luster; F. Santos; I. Steinmacher; M. A. Gerosa,"Grand Canyon University BrandSafway, Phoenix, Arizona, USA; Grand Canyon University ITAMCO, Phoenix, Arizona, USA; Grand Canyon University, Phoenix, Arizona, USA; Northern Arizona University, Flagstaff, Arizona, USA; Northern Arizona University, Flagstaff, Arizona, USA",2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),29 Aug 2024,2024,,,57,60,"Effective prioritization of issue reports in software engineering helps to optimize resource allocation and information recovery. However, manual issue classification is laborious and lacks scalability. As an alternative, many open source software (OSS) projects employ automated processes for this task, yet this relies on substantial datasets for adequate training. This research investigates an automated approach to issue classification based on Generative Pre-trained Transformers (GPT). By leveraging the capabilities of such models, we aim to develop a robust system for prioritizing issue reports accurately, mitigating the necessity for extensive training data while maintaining reliability. In our research, we have developed a GPT-based approach to label issues accurately with a reduced training dataset. By reducing reliance on massive data requirements and focusing on few-shot fine-tuning, we found a more accessible and efficient solution for issue classification. Our model predicted issue labels in individual projects up to $93.2 \%$ in precision, $95 \%$ in recall, and $89.3 \%$ in F1-score.",,979-8-4007-0576-2,,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10647180,Issue Report Classification;Large Language Model;Natural Language Processing;Software Engineering;Labeling;Multi-class Classification;Empirical Study,Training;Large language models;Focusing;Training data;Standardization;Transformers;Data models,,1.0,,15.0,,29 Aug 2024,,,IEEE,IEEE Conferences
Stock Price Prediction Using Sentiment Analysis,T. Sidogi; R. Mbuvha; T. Marwala,"School of Electrical Engineering, University of Johannesburg, Johannesburg, South Africa; School of Statistics and Actuarial Science, University of Witwatersrand, Johannesburg, South Africa; School of Electrical Engineering, University of Johannesburg, Johannesburg, South Africa","2021 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",6 Jan 2022,2021,,,46,51,"We investigate the influence of financial news headline sentiment on the predictability of stock prices using Long Term Short Term Memory (LSTM) networks. The investigation is performed on intraday data with specific lag-times between published article headlines and realised stock prices. FinBERT, a natural language processing model which is fine-tuned specifically for financial news is used to perform sentiment analysis on the company related news headlines. Two base models, one with only historical stock price data as inputs and the other with both historical stock price data and sentiment data from the original BERT model is tested. An alternative model with have both historical stock price data and sentiment data from the fine tuned FinBERT model as additional features. A comparison is performed on both the base and alternative models using Root Mean Square Error (RMSE) and mean absolute error (MAE) as performance metrics. The results suggest that the use of news headline sentiment features from FinBERT significantly improve the predictive performance of LSTM networks in intraday stock price prediction. FinBERT features are also found to outperform features based BERT model trained on a general corpus, illustrating the positive effect of domain specific fine tuning for Large Language models.",2577-1655,978-1-6654-4207-7,10.1109/SMC52423.2021.9659283,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9659283,FinBERT;language model;sentiment analysis;prediction;LSTM,Measurement;Sentiment analysis;Analytical models;Conferences;Bit error rate;Predictive models;Data models,,28.0,,34.0,IEEE,6 Jan 2022,,,IEEE,IEEE Conferences
FN-Agents: Analysis of Exchange Rate Volatility Prediction Based on Multi-Agent Systems,Z. Guo; W. Guo; Q. Li; Y. Zou; J. Cai,"School of National Finance, Guangdong University of Finance, Guangzhou, China; School of Credit Management, Guangdong University of Finance, Guangzhou, China; School of National Finance, Guangdong University of Finance, Guangzhou, China; School of National Finance, Guangdong University of Finance, Guangzhou, China; School of Credit Management, Guangdong University of Finance, Guangzhou, China",2024 5th International Conference on Computers and Artificial Intelligence Technology (CAIT),17 Apr 2025,2024,,,350,355,"Exchange rate prediction is challenging. While large language models (LLMs) offer new approaches, their lack of domain-specific fine-tuning hinders effective assessment of factors influencing exchange rates. To address this, we propose FN-Agents—a framework integrating technologies such as vector databases, Retrieval-Augmented Generation(RAG), and self-reflection—to enable LLMs to better utilize external resources for exchange rate tasks. FN-Agents assists LLMs in acquiring expert knowledge, learning through self-reflection, building fine-tuned datasets, and ultimately generating interpretable core feature sets autonomously. Experiments demonstrate that FN-Agents excels in feature selection and enhances the predictive accuracy of mainstream models.",,979-8-3315-3089-1,10.1109/CAIT64506.2024.10963060,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963060,Agents;Privatized Knowledge;Exchange Rate Forecasting;Experiential Learning,Computers;Exchange rates;Databases;Large language models;Learning (artificial intelligence);Predictive models;Feature extraction;Vectors;Forecasting;Multi-agent systems,,,,11.0,IEEE,17 Apr 2025,,,IEEE,IEEE Conferences
Risk-Sensitive Sequential Action Control with Multi-Modal Human Trajectory Forecasting for Safe Crowd-Robot Interaction,H. Nishimura; B. Ivanovic; A. Gaidon; M. Pavone; M. Schwager,"Department of Aeronautics and Astronautics, Stanford University, Stanford, CA, USA; Department of Aeronautics and Astronautics, Stanford University, Stanford, CA, USA; Toyota Research Institute, Los Altos, CA, USA; Department of Aeronautics and Astronautics, Stanford University, Stanford, CA, USA; Department of Aeronautics and Astronautics, Stanford University, Stanford, CA, USA",2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10 Feb 2021,2020,,,11205,11212,"This paper presents a novel online framework for safe crowd-robot interaction based on risk-sensitive stochastic optimal control, wherein the risk is modeled by the entropic risk measure. The sampling-based model predictive control relies on mode insertion gradient optimization for this risk measure as well as Trajectron++, a state-of-the-art generative model that produces multimodal probabilistic trajectory forecasts for multiple interacting agents. Our modular approach decouples the crowd-robot interaction into learning-based prediction and model-based control, which is advantageous compared to end-to-end policy learning methods in that it allows the robot's desired behavior to be specified at run time. In particular, we show that the robot exhibits diverse interaction behavior by varying the risk sensitivity parameter. A simulation study and a real-world experiment show that the proposed online framework can accomplish safe and efficient navigation while avoiding collisions with more than 50 humans in the scene.",2153-0866,978-1-7281-6212-6,10.1109/IROS45743.2020.9341469,Toyota Research Institute; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341469,,Sensitivity;Predictive models;Robot sensing systems;Probabilistic logic;Trajectory;Collision avoidance;Vehicle dynamics,,27.0,,40.0,IEEE,10 Feb 2021,,,IEEE,IEEE Conferences
LLM-Augmented Enhanced Graph Transformer for Stock Movement Prediction,L. Zhou; Y. Chen; J. Yu; S. Yongchareon; J. Ruan; Y. Zhang,"Department of Computer and Information Sciences, Auckland University of Technology, Auckland, New Zealand; Department of Computer and Information Sciences, Auckland University of Technology, Auckland, New Zealand; Department of Computer and Information Sciences, Auckland University of Technology, Auckland, New Zealand; Department of Computer and Information Sciences, Auckland University of Technology, Auckland, New Zealand; Department of Computer and Information Sciences, Auckland University of Technology, Auckland, New Zealand; Department of Computer and Information Sciences, Auckland University of Technology, Auckland, New Zealand",2025 IEEE Region 10 Symposium (TENSYMP),4 Sep 2025,2025,,,1,8,"Predicting stock price movements remains challenging due to the complex interactions and dynamics of financial markets. Recent deep learning advances, particularly integrating numerical data with linguistic analysis via large language models (LLMs), have shown promise. This study proposes an LLM-Augmented Enhanced Graph Transformer that combines LLM-generated financial analyses, FinBERT semantic embeddings, and a Graph Transformer to predict daily stock movements for 260 selected S&P 500 stocks in 2024. We construct a static stock relationship graph based on the cosine similarity of aggregated textual embeddings, capturing long-term semantic dependencies while integrating numerical indicators. Experimental results show our approach outperforms traditional time-series models (e.g., LSTM, Transformer, Informer) and graph-based methods (e.g., GCN, GAT), demonstrating the effectiveness of multimodal fusion and graph-based attention. We also discuss computational constraints and the limitations of static graphs, highlighting future directions such as dynamic graph modeling and optimized text processing.",2642-6102,979-8-3315-3765-4,10.1109/TENSYMP63728.2025.11144933,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11144933,Graph neural networks;Graph Transformer;Stock movement prediction;Large Language Model,Large language models;Computational modeling;Semantics;Linguistics;Transformers;Graph neural networks;Numerical models;Optimization;Long short term memory;Text processing,,,,41.0,IEEE,4 Sep 2025,,,IEEE,IEEE Conferences
Adapting Speech Models for Stock Price Prediction,F. Voigt; J. A. Calero; K. Dahal; Q. Wang; K. v. Luck; P. Stelldinger,"Department of Computer Science, University of the West of Scotland / Hamburg University of Applied Sciences, Hamburg, Germany; School of Computing, Engineering & Physical Sciences, University of the West of Scotland, Paisley, Scotland; School of Computing, Engineering & Physical Sciences, University of the West of Scotland, Paisley, Scotland; School of Computing, Engineering & Physical Sciences, University of the West of Scotland, Paisley, Scotland; Department of Computer Science, Hamburg University of Applied Sciences, Hamburg, Germany; Department of Computer Science, Hamburg University of Applied Sciences, Hamburg, Germany","2024 IEEE 6th International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)",11 Feb 2025,2024,,,1,8,"Large language models (LLMs) have demonstrated remarkable success in the field of natural language processing (NLP). Despite their origins in NLP, these algorithms possess the theoretical capability to process any data type represented in an NLP-like format. In this study, we use stock data to illustrate three methodologies for processing regression data with LLMs, employing tokenization and contextualized embeddings. By leveraging the well-known LLM algorithm Bidirectional Encoder Representations from Transformers (BERT) [1], we apply quantitative stock price prediction methodologies to predict stock prices and stock price movements, showcasing the versatility and potential of LLMs in financial data analysis.",,979-8-3315-0579-0,10.1109/ICCCMLA63077.2024.10871633,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10871633,finance;quantitative stock price prediction;natural language processing;stock movement prediction;fintech;machine learning;large language models,Adaptation models;Machine learning algorithms;Large language models;Machine learning;Predictive models;Transformers;Prediction algorithms;Tokenization;Encoding;Speech processing,,,,41.0,IEEE,11 Feb 2025,,,IEEE,IEEE Conferences
Detecting Negation Scopes for Financial News Sentiment Using Reinforcement Learning,N. Pröllochs; S. Feuerriegel; D. Neumann,"University of Freiburg, Freiburg, Germany; University of Freiburg, Freiburg, Germany; University of Freiburg, Freiburg, Germany",2016 49th Hawaii International Conference on System Sciences (HICSS),10 Mar 2016,2016,,,1164,1173,"Applying natural language processing to the domain of financial news requires robust methods that process all sentences correctly, including those that are negated. So far, related research commonly utilizes rule-based algorithms to detect negated sentence fragments, named negation scopes. Nonetheless, these methods involve certain limitations when encountering complex language or particularities of the chosen prose. As an alternative, reinforcement learning offers an opportunity to learn suitable negation classifications through trial-and-error experience. This method tries to replicate human-like learning and thus appears well-suited for natural language processing. Its episode-based and flexible structure allows for the handling of even highly complex sentences. Our results provide evidence that reinforcement learning can outperform rule-based approaches from the related literature. The best performing implementation reveals a predictive accuracy of up to 76.37% on a manually-labeled dataset, exceeding the predictive accuracy of rule-based approaches by 2.55 %. When utilizing the already trained reinforcement learning implementation for sentiment analysis, we find a potential subjectivity bias that limits the predictive performance of forecasting stock market returns.",1530-1605,978-0-7695-5670-3,10.1109/HICSS.2016.147,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427326,,Learning (artificial intelligence);Sentiment analysis;Manuals;Stock markets;Hidden Markov models;Pragmatics,,7.0,,34.0,IEEE,10 Mar 2016,,,IEEE,IEEE Conferences
Sentiment Score of Bloomberg Market Wraps with ChatGPT,B. Lefort; E. Benhamou; J. -J. Ohana; B. Guez; D. Saltiel,"AI for Alpha and CentraleSupelec; AI for Alpha, Paris, France; AI for Alpha, Paris, France; AI for Alpha, Paris, France; AI for Alpha, Paris, France",2024 IEEE International Conference on Data Mining Workshops (ICDMW),18 Mar 2025,2024,,,111,116,"In this paper, we used a large dataset of daily Bloomberg Financial Market Summaries from 2010 to 2023, reposted on large financial media, to determine how global news headlines affect stock market movements. To make this analysis more effective, we employed ChatGPT. First, from the summary of daily financial updates, we identify top global news headlines that could have a significant influence on stock markets. Second, for each headline, we questioned ChatGPT to answer whether the news might lead to a rise, a fall in stock prices or an indecisive future. This two-stage method proves more effective than a direct question on the entire text. By gathering ChatGPT’s predictions day by day, we formed an overall market sentiment score and transform this score into a practical investment strategy in the NASDAQ index, demonstrating the significance of minimizing noise in sentiment scores by initially accumulating and then detrending them. This approach showcases that ChatGPT’s analysis of news headlines can provide valuable insights into future stock market behaviours and be a valuable tool to develop intuitive NLP-driven investment strategies leveraging news predictive power.",2375-9259,979-8-3315-3063-1,10.1109/ICDMW65004.2024.00021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10918270,NLP;ChatGPT;SentimentScore;Bloomberg News,Social networking (online);Soft sensors;Noise;Transforms;Predictive models;Media;Chatbots;Market research;Stock markets;Investment,,,,34.0,IEEE,18 Mar 2025,,,IEEE,IEEE Conferences
Can GPT Price Options?,A. A. Pawar; D. Chaudhary,"Khoury College of Computer Sciences, Northeastern University, Boston, USA; Khoury College of Computer Sciences, Northeastern University, Seattle, USA",2024 IEEE International Conference on Future Machine Learning and Data Science (FMLDS),17 Feb 2025,2024,,,364,370,"Options are financial instruments that grant the holder the right, but not the obligation, to buy or sell an underlying asset at a predetermined price within a specified time frame. Traditional option pricing models, such as the Black-Scholes equation, depend on simplifying assumptions and struggle to effectively capture complex market dynamics. The study investigates the viability of using the Generative Pretrained Transformer (GPT) model to assess the value of stock options. We fine-tune the state-of-the-art GPT-3.5-turbo model by utilizing past option chain data and evaluate its precision in predicting option prices for well-known technology stocks including Apple (AAPL), Google (GOOG), and Microsoft (MSFT). Our model employs many features, including strike price, underlying price, days to expiry, and volatility index (VIX), to precisely predict option prices. Extensive examination undertaken at various degrees of moneyness and time horizons demonstrates that GPT models consistently surpass Black-Scholes in terms of both mean absolute error and root mean squared error. Out of all the models that were assessed, the 5-year data models exhibit the greatest overall accuracy. An error study suggests that pricing for options at the money has improved, but there are issues in appropriately pricing options that are highly in the money or out of the money. The GPT technique shows promise in leveraging transformers for computational finance applications.",,979-8-3503-9121-3,10.1109/FMLDS63805.2024.00071,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10874037,Generative Pre-trained Transformer;Options;Stocks;Pricing;Black-Scholes Model;Machine Learning;Volatility;Finance Applications,Analytical models;Accuracy;Computational modeling;Generative Pre-trainer transformer;Pricing;Predictive models;Transformers;Data models;Mathematical models;Stock markets,,,,29.0,IEEE,17 Feb 2025,,,IEEE,IEEE Conferences
Leveraging LLMs for Financial News Analysis and Macroeconomic Indicator Nowcasting,L. Réka Ónozó; F. Viktor Arthur; B. Gyires-Tóth,"Digitalization Technology Department, Central Bank of Hungary, Budapest, Hungary; Department of Telecommunications and Artificial Intelligence, Budapest University of Technology and Economics, Budapest, Hungary; Department of Telecommunications and Artificial Intelligence, Budapest University of Technology and Economics, Budapest, Hungary",IEEE Access,6 Nov 2024,2024,12,,160529,160547,"Approximating macroeconomic indicators is challenging due to the complex interaction of various factors, including global and national economic trends, political decisions, and unpredictable events like pandemics and natural disasters. These complexities, combined with the volatility of economies and the limitations of available data, make accurate modeling difficult. Sentiment analysis of economic news offers a novel approach to this challenge by providing instantaneous insights into public mood and market trends, capturing psychological and behavioral aspects that traditional models may miss. This method can enhance understanding of consumer confidence, investment trends, and stock market performance, for instance. In this study, we developed a dictionary and transformer-based sentiment model applied to over two decades of Hungarian economic news. To improve the model’s accuracy, we utilized large language models (LLMs) with active learning to efficiently augment the manually labeled sentiment dataset. We then compared the resulting sentiment-based time series with macroeconomic indicators such as GDP (Gross Domestic Product), PMI (Purchasing Managers’ Index), and unemployment rate. Our results show that integrating LLMs significantly enhances the accuracy of the sentiment models, and the sentiment-based indicators can serve as effective nowcasting tools for the inspected macroeconomic indicators.",2169-3536,,10.1109/ACCESS.2024.3488363,"collaboration between the Central Bank of Hungary and Budapest University of Technology and Economics, through the Central Bank of Hungary and European Union Project within the framework of the Artificial Intelligence National Laboratory(grant numbers:RRF-2.3.1-21-2022-00004); Ministry of Culture and Innovation of Hungary from the National Research, Development and Innovation(grant numbers:TKP2021-NVA); funding scheme(grant numbers:TKP2021-NVA); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10738800,GDP;large language model (LLM);macroeconomic indicator;natural language processing (NLP);PMI;sentiment analysis;unemployment rate,Biological system modeling;Macroeconomics;Economics;Transformers;Analytical models;Data models;Sentiment analysis;Predictive models;Market research;Encoding,,3.0,,36.0,CCBY,30 Oct 2024,,,IEEE,IEEE Journals
Adversarially Enhanced Financial Misinformation: A Comparative Analysis of LLM- vs. GAN-Generated Content Exposing AI Moderation Vulnerabilities,C. Santorelli; V. G. Belmonte; R. Mastropaolo,"Department of Computer Science, Worcester Polytechnic Institute, Worcester, MA, USA; Department of Mathematics, Columbia University, New York, NY, USA; Department of Computer Science, Sacred Heart University, Fairfield, CT, USA","2025 6th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",15 Jul 2025,2025,,,250,256,"As Large Language Models (LLMs) become more pervasive, their capability to generate convincing financial news poses an escalating threat to investor decision-making and market stability. However, contemporary content moderation and AIbased verification systems exhibit notable vulnerabilities when confronted with the subtle linguistic manipulations introduced by advanced prompt engineering techniques and adversarial training. This study investigated the comparative credibility, influence, and detectability of AI-generated financial headlines produced via Zero-Shot, Few-Shot (8-Shot), and Chain-of-Thought (CoT) prompting, with CoT outputs further used to train a GAN for adversarially enhanced text generation. We compiled a combined dataset of NASDAQ-listed securities and web-scraped, human authored news, generated additional AI-driven headlines under three prompting paradigms, and conducted a survey of randomly sampled headlines ($\mathbf{n} \boldsymbol{=} \mathbf{3 0 0}$) to assess the credibility, market perception impact, investment influence, and AI detectability. The analysis revealed that headlines generated through Chain-of-Thought prompting consistently scored higher in perceived authenticity, influenced investment sentiment more profoundly, and were harder for participants to classify as AI-written. The findings underscore the urgent need for adversarially robust content moderation and verification mechanisms, capable of adapting to the rapidly evolving landscape of AI-generated financial misinformation, particularly when Chain-of-Thought reasoning is leveraged to enhance GAN-generated content.",,979-8-3315-4348-8,10.1109/AIRC64931.2025.11077509,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11077509,Large Language Models (LLMs);Generative Adversarial Networks (GANs);AI-Generated Misinformation;Adversarial Learning;AI Content Moderation;Natural Language Processing (NLP);Misinformation Detection,Training;Surveys;Terminology;Large language models;Natural language processing;Stability analysis;Prompt engineering;Security;Fake news;Investment,,,,17.0,IEEE,15 Jul 2025,,,IEEE,IEEE Conferences
The Role of News Sentiment in Predicting the Jakarta Composite Index Using Long Short-Term Memory,Z. B. Purwanto; N. Aquarini; Indwiarti; P. H. Gunawan,"School of Computing, Telkom University, Bandung, Indonesia; E'cole Doctorale Science Economics, Universit ' e de Poitiers Intervenant Finance, La Rochelle, France; School of Computing, Telkom University, Bandung, Indonesia; School of Computing, Telkom University, Bandung, Indonesia",2024 International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA),11 Mar 2025,2024,,,1383,1388,"This paper investigates the integration of sentiment analysis and historical data to enhance the accuracy of Jakarta Composite Index (JCI) stock return predictions using a Long Short-Term Memory (LSTM) model. The dataset spans January 3, 2014, to August 6, 2024, consisting of 2,647 daily observations enriched with sentiment scores derived from over 10,000 Kompas.com news articles. Sentiment analysis, performed using a Large Language Model (LLM)-based ChatGPT model, classified sentiment into Positive, Neutral, and Negative categories, which were then integrated as predictive features. Five scenarios for incorporating sentiment data were evaluated, with Scenario 2 (sequence of past sentiment scores) yielding the best performance. Specifically, it achieved the lowest Mean Absolute Error (MAE) and Root Mean Square Error (RMSE) across various metrics: 36.4570 and 47.5527 for Absolute Return prediction, 0.005209 and 0.006804 for Relative Return prediction, and 50,725 and 65,653 for Close Price prediction. These findings underscore the significant role of sequential sentiment data in improving prediction accuracy, offering practical recommendations for investors to leverage sentiment analysis in making more informed decisions in the JCI market.",,979-8-3315-0649-0,10.1109/ICICYTA64807.2024.10913442,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10913442,stock prediction;LSTM;sentiment analysis;JCI,Measurement;Sentiment analysis;Analytical models;Accuracy;Predictive models;Data models;Indexes;Root mean square;Long short term memory;Testing,,,,22.0,IEEE,11 Mar 2025,,,IEEE,IEEE Conferences
Fairness Testing Through Extreme Value Theory,V. Monjezi; A. Trivedi; V. Kreinovich; S. Tizpaz-Niari,University of Illinois Chicago; University of Colorado Boulder; University of Texas at El Paso; University of Illinois Chicago,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),23 Jun 2025,2025,,,1501,1513,"Data-driven software is increasingly being used as a critical component of automated decision-support systems. Since this class of software learns its logic from historical data, it can encode or amplify discriminatory practices. Previous research on algorithmic fairness has focused on improving “average-case” fairness. On the other hand, fairness at the extreme ends of the spectrum, which often signifies lasting and impactful shifts in societal attitudes, has received significantly less emphasis. Leveraging the statistics of extreme value theory (EVT), we propose a novel fairness criterion called extreme counterfactual discrimination (ECD). This criterion estimates the worst-case amounts of disadvantage in outcomes for individuals solely based on their memberships in a protected group. Utilizing tools from search-based software engineering and generative AI, we present a randomized algorithm that samples a statistically significant set of points from the tail of ML outcome distributions even if the input dataset lacks a sufficient number of relevant samples. We conducted several experiments on four ML models (deep neural networks, logistic regression, and random forests) over 10 socially relevant tasks from the literature on algorithmic fairness. First, we evaluate the generative AI methods and find that they generate sufficient samples to infer valid EVT distribution in 95% of cases. Remarkably, we found that the prevalent bias mitigators reduce the average-case discrimination but increase the worst-case discrimination significantly in 35% of cases. We also observed that even the tail-aware mitigation algorithm-MiniMax-Fairness-increased the worst-case discrimination in 30% of cases. We propose a novel ECD-based mitigator that improves fairness in the tail in 90% of cases with no degradation of the average-case discrimination. We hope that the EVT framework serves as a robust tool for evaluating fairness in both average-case and worst-case discrimination.",1558-1225,979-8-3315-0569-1,10.1109/ICSE55347.2025.00070,"NSF(grant numbers:CCF-2317206,CCF-2317207); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029970,software testing;fairness;extreme value theory,Hands;Logistic regression;Generative AI;Prevention and mitigation;Software algorithms;Software;Logic;Random forests;Software engineering;Testing,,2.0,,74.0,IEEE,23 Jun 2025,,,IEEE,IEEE Conferences
